period,rate
2001-12,8.99
2002-01,9.52
2002-02,9.3
2002-03,10.2
2002-04,10.3
2002-05,10.54
2002-06,10.6
2002-07,10.87
2002-08,11.16
2002-09,11.96
2002-10,11.83
2002-11,11.45
2002-12,11.56
2003-01,11.31
2003-02,11.19
2003-03,11.2
2003-04,11.26
2003-05,10.76
2003-06,10.42
2003-07,10.8
2003-08,10.53
2003-09,8.99
2003-10,7.14
2003-11,6.82
2003-12,6.71
2004-01,6.8
2004-02,6.7
2004-03,6.73
2004-04,7.03
2004-05,6.88
2004-06,6.91
2004-07,6.92
2004-08,6.37
2004-09,6.17
2004-10,6.05
2004-11,6.04
2004-12,6.05
2005-01,6.08
2005-02,6.07
2005-03,6.08
2005-04,6.12
2005-05,5.96
2005-06,5.88
2005-07,5.87
2005-08,5.93
2005-09,5.92
2005-10,5.99
2005-11,6.02
2005-12,6.6
2006-01,6.7
2006-02,6.55
2006-03,6.66
2006-04,6.56
2006-05,6.57
2006-06,6.68
2006-07,6.83
2006-08,7.36
2006-09,7.63
2006-10,7.73
2006-11,8.03
2006-12,8.4
2007-01,8.51
2007-02,8.59
2007-03,8.62
2007-04,8.64
2007-05,8.66
2007-06,8.88
2007-07,8.97
2007-08,9.37
2007-09,9.43
2007-10,9.84
2007-11,10.0
2007-12,10.35
2008-01,10.83
2008-02,11.0
2008-03,11.04
2008-04,11.28
2008-05,11.39
2008-06,11.74
2008-07,12.01
2008-08,11.93
2008-09,12.08
2008-10,12.25
2008-11,12.08
2008-12,11.72
2009-01,11.34
2009-02,10.59
2009-03,10.7
2009-04,9.21
2009-05,8.32
2009-06,7.91
2009-07,7.88
2009-08,7.56
2009-09,7.18
2009-10,7.25
2009-11,7.3
2009-12,7.2
2010-01,7.22
2010-02,7.22
2010-03,7.06
2010-04,6.79
2010-05,6.76
2010-06,6.75
2010-07,6.72
2010-08,6.57
2010-09,6.25
2010-10,5.42
2010-11,5.36
2010-12,5.46
2011-01,5.77
2011-02,5.89
2011-03,5.95
2011-04,5.64
2011-05,5.66
2011-06,5.7
2011-07,5.59
2011-08,5.61
2011-09,5.62
2011-10,5.52
2011-11,5.53
2011-12,5.59
2012-01,5.74
2012-02,5.7
2012-03,5.72
2012-04,5.71
2012-05,5.82
2012-06,5.54
2012-07,5.36
2012-08,5.22
2012-09,5.14
2012-10,5.12
2012-11,5.08
2012-12,5.09
2013-01,5.09
2013-02,5.08
2013-03,5.1
2013-04,5.11
2013-05,5.12
2013-06,5.14
2013-07,5.17
2013-08,5.18
2013-09,5.19
2013-10,5.2
2013-11,5.21
2013-12,5.24
2014-01,5.36
2014-02,5.58
2014-03,5.48
2014-04,5.49
2014-05,5.79
2014-06,5.65
2014-07,5.77
2014-08,6.05
2014-09,6.09
2014-10,6.08
2014-11,6.13
2014-12,6.14
2015-01,6.13
2015-02,6.12
2015-03,6.15
2015-04,5.99
2015-05,6.14
2015-06,6.15
2015-07,6.16
2015-08,6.05
2015-09,6.11
2015-10,6.06
2015-11,6.27
2015-12,6.51
2016-01,6.62
2016-02,6.9
2016-03,7.07
2016-04,7.24
2016-05,7.16
2016-06,7.22
2016-07,7.19
2016-08,7.27
2016-09,7.32
2016-10,7.31
2016-11,7.37
2016-12,7.39
2017-01,7.36
2017-02,7.36
2017-03,7.39
2017-04,7.33
2017-05,7.4
2017-06,7.39
2017-07,7.21
2017-08,7.11
2017-09,7.13
2017-10,7.04
2017-11,7.08
2017-12,7.15
2018-01,7.16
2018-02,7.11
2018-03,7.05
2018-04,6.95
2018-05,6.91
2018-06,6.92
2018-07,6.95
2018-08,6.96
2018-09,6.86
2018-10,6.89
2018-11,7.09
2018-12,7.13
2019-01,7.16
2019-02,7.12
2019-03,7.15
2019-04,7.17
2019-05,7.03
2019-06,7.15
2019-07,7.0
2019-08,6.98
2019-09,6.92
2019-10,6.76
2019-11,6.88
2019-12,6.78
2020-01,6.8
2020-02,6.72
2020-03,6.14
2020-04,5.25
2020-05,4.77
2020-06,4.5
2020-07,4.37
2020-08,4.22
2020-09,4.08
2020-10,3.94
2020-11,3.89
2020-12,3.89
2021-01,3.8
2021-02,3.75
2021-03,3.74
2021-04,3.77
2021-05,3.79
2021-06,3.8
2021-07,3.79
2021-08,3.78
2021-09,3.8
2021-10,3.81
2021-11,3.97
2021-12,3.98
2022-01,4.11
2022-02,4.22
2022-03,4.41
2022-04,4.44
2022-05,4.74
2022-06,4.91
2022-07,5.33
2022-08,5.19
2022-09,5.6
2022-10,5.71
2022-11,5.99
2022-12,6.15
2023-01,5.81
2023-02,5.96
2023-03,6.42
2023-04,6.43
2023-05,6.74
2023-06,6.8
2023-07,6.81
2023-08,6.86
2023-09,6.9
2023-10,6.94
2023-11,6.96
2023-12,7.19
2024-01,7.19
2024-02,7.17
2024-03,7.27
2024-04,7.22
2024-05,8.44
2024-06,8.42
2024-07,8.43
2024-08,8.42
2024-09,8.26
2024-10,8.16
2024-11,8.07
2024-12,7.99
2025-01,7.88
2025-02,7.85
