,10%_n_triggers,10%_deployed,10%_avg_cash_wt,20%_n_triggers,20%_deployed,20%_avg_cash_wt,30%_n_triggers,30%_deployed,30%_avg_cash_wt,40%_n_triggers,40%_deployed,40%_avg_cash_wt,50%_n_triggers,50%_deployed,50%_avg_cash_wt
blk1,0,0.0,0.08558178128747591,0,0.0,0.17374751149070836,0,0.0,0.17374751149070836,0,0.0,0.17374751149070836,0,0.0,0.17374751149070836
blk2,0,0.0,0.08641278902585127,0,0.0,0.17510167115685515,0,0.0,0.17510167115685515,0,0.0,0.17510167115685515,0,0.0,0.17510167115685515
blk3,3,39115.68953472669,0.03669128768448738,3,78012.19142877506,0.07420903418929022,3,85864.44098931637,0.0787626779479272,3,93716.69054985771,0.08331828921536624,3,101568.94011039904,0.0878758759173814
blk4,1,692.3516281483273,0.011755985712431428,1,1384.7032562966547,0.023531648293343893,1,2077.054884444982,0.0353196841496143,1,2769.4065125933093,0.04712259377783279,1,3461.758140741636,0.05894042695783662
blk5,0,0.0,0.028175654095416548,0,0.0,0.0565003764253209,0,0.0,0.0849609743176624,0,0.0,0.11356365070970052,0,0.0,0.14230978533317012
blk6,0,0.0,0.032554396252621874,0,0.0,0.06568991765687135,0,0.0,0.09940790652282225,0,0.0,0.13372954513488422,0,0.0,0.15175983770844859
blk7,3,43826.063048515876,0.004485254434329676,3,87652.12609703175,0.009019235961690223,3,131478.18914554708,0.013601011937947077,3,175304.2521940635,0.018232043532433906,3,180471.74870185682,0.02095847814022723
blk8,0,0.0,0.009264386626337159,0,0.0,0.018616700494826017,0,0.0,0.028054908673647246,0,0.0,0.03758133112587904,0,0.0,0.04735649847425135
blk9,0,0.0,0.01465032780413347,0,0.0,0.02946858357307009,0,0.0,0.04445280791404326,0,0.0,0.05960746658758225,0,0.0,0.0751713331338093
blk10,1,35876.06842435084,0.005486764764869298,1,71752.13684870167,0.011014708789472786,1,107628.20527305227,0.01658259271902455,1,143504.27369740335,0.022191436421211765,1,179380.34212175434,0.02792388655872153
blk11,1,14323.689510504662,0.002563186231986876,1,28647.379021009325,0.0051419118977495916,1,42971.06853151403,0.007735575559367496,1,57294.75804201865,0.010344563152872133,1,71618.4475525234,0.013004765789932819
blk12,0,0.0,0.0038530784230284406,0,0.0,0.007730503007643917,0,0.0,0.01163143174274798,0,0.0,0.015556439506964222,0,0.0,0.019557087812044776
blk13,2,26570.306605571597,0.0021926415913362768,2,53140.613211143194,0.004397773500978828,2,79710.91981671492,0.0066149098567852265,2,106281.22642228639,0.008844350151374945,2,132851.5330278583,0.011114595041215687
blk14,0,0.0,0.003365504112131274,0,0.0,0.0067498266380364704,0,0.0,0.010152250194084994,0,0.0,0.013573216024178828,0,0.0,0.0170547490112509
blk15,1,33820.51159403858,0.0039107655471555345,1,67641.02318807716,0.007853921183533284,1,101461.5347821157,0.011828869297571643,1,135282.04637615432,0.015836335045981732,1,169102.55797019327,0.019924878594567808
blk16,0,0.0,0.0006984163177557345,0,0.0,0.0014020926693392446,0,0.0,0.002110913336390355,0,0.0,0.0028249939713248704,0,0.0,0.003552801090035524
