,10%_n_triggers,10%_deployed,10%_avg_cash_wt,20%_n_triggers,20%_deployed,20%_avg_cash_wt,30%_n_triggers,30%_deployed,30%_avg_cash_wt,40%_n_triggers,40%_deployed,40%_avg_cash_wt,50%_n_triggers,50%_deployed,50%_avg_cash_wt
blk1,1,184.6427242067678,0.06425744605267673,1,369.2307692307692,0.12913859061930213,1,369.2307692307692,0.1640105947030975,1,369.2307692307692,0.17168861072260272,1,369.2307692307692,0.17517184304166672
blk2,1,1640.7371947428173,0.035861057237921844,1,3281.4743894856347,0.07230589909841352,1,3646.1538461538435,0.08928830752146623,1,3646.1538461538435,0.09887964686775404,1,3646.1538461538435,0.10845932552912144
blk3,2,1478.1117447722602,0.015443762505665353,2,2956.2234895445204,0.03094280181523858,2,4434.3352343167735,0.04660621886261198,2,5912.446979089041,0.06228141023799888,2,6946.1818054216,0.07744225111755204
blk4,0,0.0,0.021473394553535002,0,0.0,0.04296853345025373,0,0.0,0.06459272725672498,0,0.0,0.08619427511419579,0,0.0,0.107898521558036
blk5,0,0.0,0.029049009065725554,0,0.0,0.05843568034013065,0,0.0,0.08829174067145461,0,0.0,0.11844563814606789,0,0.0,0.13394466676099043
blk6,0,0.0,0.032951927171636745,0,0.0,0.06654997305646987,0,0.0,0.10094169194231702,0,0.0,0.1246496664705757,0,0.0,0.12542080330927563
blk7,0,0.0,0.038837772416920345,0,0.0,0.07841338073616008,0,0.0,0.11888502371023774,0,0.0,0.12994621790695388,0,0.0,0.13067071992983104
blk8,0,0.0,0.03843340726226082,0,0.0,0.07799045092425483,0,0.0,0.1178274093720419,0,0.0,0.11990199835944829,0,0.0,0.12052473633682158
blk9,0,0.0,0.03627027761886428,0,0.0,0.0740220969196656,0,0.0,0.10697015288685374,0,0.0,0.10790880305510012,0,0.0,0.10844141433395971
blk10,1,8743.737486196209,0.0060307908399250916,1,17487.474972392418,0.012278291012722412,1,24046.153846154095,0.017747761318880086,1,24046.153846154095,0.019953062159324596,1,24046.153846154095,0.022113761874130677
blk11,2,1616.213559357281,0.0019169835019333334,2,3232.427118714562,0.0038886158081234885,2,4848.640678071836,0.005926383381898023,2,6464.854237429124,0.007964741507269503,2,8081.067796786393,0.010001185627013194
blk12,0,0.0,0.0035450218770669765,0,0.0,0.007188527245200694,0,0.0,0.010950795400063062,0,0.0,0.014715870290706921,0,0.0,0.01847938961615826
blk13,5,3163.122777084572,0.0013518127423372563,5,6326.245554169144,0.0027400646509512464,5,9489.368331253732,0.004172264607682018,5,12652.491108338289,0.005605095234183627,5,15815.613885422857,0.007036940802966104
blk14,0,0.0,0.0019742785029968402,0,0.0,0.003999238384118817,0,0.0,0.006085259162822088,0,0.0,0.008171743955898638,0,0.0,0.010256469827248574
blk15,1,2806.4736098895946,0.003012145443374076,1,5612.947219779189,0.0061037332156890925,1,8419.420829668812,0.009290537714305989,1,11225.894439558379,0.01248195997110915,1,14032.368049447983,0.015674694821535294
blk16,0,0.0,0.0010408541287306964,0,0.0,0.0021076551441468997,0,0.0,0.003205628040815888,0,0.0,0.004304168315369703,0,0.0,0.005402169579112848
