Market,Comparison,Metric,Mean block length (weeks),Replicates,Observed,Bootstrap mean,CI lower (2.5%),CI upper (97.5%),Share of replicates with the observed sign
Taiwan (0050),tactical,CAGR gap (pp),13,500,-0.07611712497585243,-0.397962338743403,-1.2369759698206406,-0.010894060770228559,0.982
Taiwan (0050),tactical,MDD gap (pp),13,500,0.1726220880262863,1.0081813334984224,0.0653192356977353,3.6936222136554004,1.0
Taiwan (0050),tactical,Sortino gap,13,500,0.03925736910621791,0.008604232576339441,-0.02136697935207601,0.034648855959617406,0.76
Taiwan (0050),static,CAGR gap (pp),13,500,-0.7206092086743915,-0.7470207488758804,-1.302535596779859,-0.2952653743965274,1.0
Taiwan (0050),static,MDD gap (pp),13,500,1.4121074890791285,1.218268955807375,0.7705465421821323,1.6904932234690269,1.0
Taiwan (0050),static,Sortino gap,13,500,-0.003254936046641621,-0.008575561275941621,-0.01629214270060585,-0.0027425738612796816,0.996
Taiwan (0050),tactical,CAGR gap (pp),26,1000,-0.07611712497585243,-0.3553789437059634,-1.119334919590858,0.011520563952706616,0.969
Taiwan (0050),tactical,MDD gap (pp),26,1000,0.1726220880262863,1.0090296519899402,0.05795974080011674,3.5532337774462457,1.0
Taiwan (0050),tactical,Sortino gap,26,1000,0.03925736910621791,0.010871391929017494,-0.02003038931122499,0.04009001981830543,0.804
Taiwan (0050),static,CAGR gap (pp),26,1000,-0.7206092086743915,-0.7423820045651529,-1.323968898623701,-0.2530861520312829,1.0
Taiwan (0050),static,MDD gap (pp),26,1000,1.4121074890791285,1.2066617053834163,0.7609320922453886,1.676515005224138,1.0
Taiwan (0050),static,Sortino gap,26,1000,-0.003254936046641621,-0.008377002893236387,-0.015911542408628736,-0.0022596163117266452,0.998
Taiwan (0050),tactical,CAGR gap (pp),52,500,-0.07611712497585243,-0.3067686538690576,-0.950986050192589,0.011544782228331933,0.962
Taiwan (0050),tactical,MDD gap (pp),52,500,0.1726220880262863,0.9845296889489598,0.06355665810526184,3.512173804163336,1.0
Taiwan (0050),tactical,Sortino gap,52,500,0.03925736910621791,0.012937064743082762,-0.020704268229766908,0.04075267514426446,0.844
Taiwan (0050),static,CAGR gap (pp),52,500,-0.7206092086743915,-0.7489784338928304,-1.3610360961333583,-0.20794354110506774,0.998
Taiwan (0050),static,MDD gap (pp),52,500,1.4121074890791285,1.2096559056296423,0.7999469501355425,1.6707677835890755,1.0
Taiwan (0050),static,Sortino gap,52,500,-0.003254936046641621,-0.008339916545137108,-0.016242010710467054,-0.002674665309096851,1.0
United States (SPY),tactical,CAGR gap (pp),13,500,-0.23559459548161132,-0.33779643076942145,-1.0428252612071731,0.010581696185348533,0.966
United States (SPY),tactical,MDD gap (pp),13,500,0.16946833126654237,0.9625674855969478,0.08064473646592102,3.1115618025852196,1.0
United States (SPY),tactical,Sortino gap,13,500,0.011611696108032032,0.00904396494374575,-0.017303483717258553,0.03166895677620601,0.812
United States (SPY),static,CAGR gap (pp),13,500,-0.604703604393475,-0.6175046770368567,-0.9299511932494396,-0.3065014884210226,1.0
United States (SPY),static,MDD gap (pp),13,500,1.337825370859358,1.2346836729360018,0.7935908840410849,1.6859234159399636,1.0
United States (SPY),static,Sortino gap,13,500,-0.006076673559062162,-0.007674105720342056,-0.012935729699158394,-0.003685160979765634,1.0
United States (SPY),tactical,CAGR gap (pp),26,1000,-0.23559459548161132,-0.25177883374680404,-0.8476640071733922,0.03657008200323389,0.939
United States (SPY),tactical,MDD gap (pp),26,1000,0.16946833126654237,0.8053377257785059,0.06828288066633686,3.0056824564350895,1.0
United States (SPY),tactical,Sortino gap,26,1000,0.011611696108032032,0.010725061889261676,-0.014683694459634794,0.03032214882816103,0.89
United States (SPY),static,CAGR gap (pp),26,1000,-0.604703604393475,-0.6131842513068526,-0.908089269284912,-0.2811956094481188,1.0
United States (SPY),static,MDD gap (pp),26,1000,1.337825370859358,1.2203221838018277,0.7647712125949035,1.6467570977876458,1.0
United States (SPY),static,Sortino gap,26,1000,-0.006076673559062162,-0.007644639124480543,-0.011900527051038206,-0.004148530313464613,1.0
United States (SPY),tactical,CAGR gap (pp),52,500,-0.23559459548161132,-0.18573168106180213,-0.668628855501008,0.042800890667235705,0.902
United States (SPY),tactical,MDD gap (pp),52,500,0.16946833126654237,0.6736593980726409,0.06062506689042457,2.948089745734028,1.0
United States (SPY),tactical,Sortino gap,52,500,0.011611696108032032,0.0122654056603552,-0.006521552583235223,0.02979095950735675,0.922
United States (SPY),static,CAGR gap (pp),52,500,-0.604703604393475,-0.609426572810901,-0.868231936773824,-0.33796177712245495,1.0
United States (SPY),static,MDD gap (pp),52,500,1.337825370859358,1.2247525722323207,0.8533649622225226,1.5570642749311339,1.0
United States (SPY),static,Sortino gap,52,500,-0.006076673559062162,-0.007549798049467344,-0.01057600661487243,-0.0047878667986123976,1.0
South Africa (STX40),tactical,CAGR gap (pp),13,500,0.046716776803182314,-0.04354516855769596,-0.5250061740569882,0.23283797830546923,0.482
South Africa (STX40),tactical,MDD gap (pp),13,500,3.2051326898872246,1.3183116752064594,0.14018365560827417,3.6369067045703,1.0
South Africa (STX40),tactical,Sortino gap,13,500,-0.012954156370203411,-0.009894646571388886,-0.032836691439925306,0.005948212594738927,0.902
South Africa (STX40),static,CAGR gap (pp),13,500,-0.21703263746854773,-0.28504020287435455,-0.8444757900175286,0.3140731701113842,0.828
South Africa (STX40),static,MDD gap (pp),13,500,4.3559730298417865,3.0421615134142588,1.967507910817143,4.341931732511311,1.0
South Africa (STX40),static,Sortino gap,13,500,-0.03008635044010447,-0.029826400863419388,-0.033982834326081776,-0.02559546015730495,1.0
South Africa (STX40),tactical,CAGR gap (pp),26,1000,0.046716776803182314,-0.014815926750303727,-0.5487330938578007,0.28097011413920353,0.552
South Africa (STX40),tactical,MDD gap (pp),26,1000,3.2051326898872246,1.5659428406803448,0.11934742066697647,4.500747155535907,0.997
South Africa (STX40),tactical,Sortino gap,26,1000,-0.012954156370203411,-0.01019626305445344,-0.03561287188219517,0.005900457337604243,0.868
South Africa (STX40),static,CAGR gap (pp),26,1000,-0.21703263746854773,-0.2682086301748814,-0.8244614756386667,0.30926154088586855,0.816
South Africa (STX40),static,MDD gap (pp),26,1000,4.3559730298417865,2.9903069201770114,1.9287934886193865,4.346954874952946,1.0
South Africa (STX40),static,Sortino gap,26,1000,-0.03008635044010447,-0.03030415796613823,-0.034510176443300275,-0.025993345349980636,1.0
South Africa (STX40),tactical,CAGR gap (pp),52,500,0.046716776803182314,-2.37947444753126e-05,-0.46841711881076264,0.28405377756255673,0.582
South Africa (STX40),tactical,MDD gap (pp),52,500,3.2051326898872246,1.6118369064145317,0.13174155336513782,4.082737727428169,0.998
South Africa (STX40),tactical,Sortino gap,52,500,-0.012954156370203411,-0.009389515492900288,-0.03541270386686893,0.005289463396073257,0.866
South Africa (STX40),static,CAGR gap (pp),52,500,-0.21703263746854773,-0.2904601466301126,-0.7885000763015895,0.23018272385549904,0.876
South Africa (STX40),static,MDD gap (pp),52,500,4.3559730298417865,3.0533829118733955,1.9704804447898572,4.277845306754426,1.0
South Africa (STX40),static,Sortino gap,52,500,-0.03008635044010447,-0.030454924839247187,-0.034072155878079435,-0.026110727868819683,1.0
